id,album,difficulty,question,choice_a,choice_b,choice_c,choice_d,correct
1989-1,1989,easy,Which Taylor Swift album includes the hit song 'Blank Space'?,Red,1989,Speak Now,Lover,1989
1989-2,1989,easy,What year was '1989' originally released?,2012,2014,2016,2019,2014
1989-3,1989,medium,Which track opens the standard edition of '1989'?,Style,Welcome to New York,Out of the Woods,Shake It Off,Welcome to New York
1989-4,1989,medium,Which song from '1989' includes the lyric 'Players gonna play, play, play, play, play'?,Bad Blood,Shake It Off,Wildest Dreams,New Romantics,Shake It Off
1989-5,1989,hard,Which producer is notably associated with the pop sound of several '1989' tracks?,Rick Rubin,Max Martin,T Bone Burnett,Quincy Jones,Max Martin
1989-6,1989,hard,Which of these is a bonus track on the deluxe edition of '1989'?,Clean,Wonderland,I Know Places,All You Had To Do Was Stay,Wonderland
1989-7,1989,easy,Which '1989' single features the line 'Cause baby now we got bad blood'?,Bad Blood,Style,Clean,This Love,Bad Blood
1989-8,1989,easy,Which of these songs is on the standard tracklist of '1989'?,Enchanted,Wildest Dreams,All Too Well,Love Story,Wildest Dreams
1989-9,1989,easy,'1989' is best described as primarily which genre shift for Taylor Swift at release?,Jazz,Synth-pop / pop,Heavy metal,Classical,Synth-pop / pop
1989-10,1989,easy,Which song title is also a common fashion term?,Style,Clean,How You Get The Girl,I Know Places,Style
1989-11,1989,easy,Which song from '1989' includes the phrase 'Are we out of the woods yet?'?,Out of the Woods,New Romantics,This Love,Bad Blood,Out of the Woods
1989-12,1989,easy,Which city is mentioned in the opening track title 'Welcome to New York'?,Los Angeles,New York,Nashville,Chicago,New York
1989-13,1989,medium,Which track includes the lyric 'You got that James Dean daydream look in your eye'?,Style,All You Had To Do Was Stay,This Love,Clean,Style
1989-14,1989,medium,Which of these tracks appears closest to the end of the standard edition tracklist?,Blank Space,Clean,Welcome to New York,Style,Clean
1989-15,1989,hard,Which of these songs is part of the deluxe-edition bonus tracks (not standard edition) of '1989'?,New Romantics,All You Had To Do Was Stay,Style,Blank Space,New Romantics
